REF_AREA,TIME_PERIOD,IMF_WEO_BCA,IMF_WEO_BCA_NGDPD,IMF_WEO_GGR,IMF_WEO_GGR_NGDP,IMF_WEO_GGSB,IMF_WEO_GGSB_NPGDP,IMF_WEO_GGX,IMF_WEO_GGXCNL,IMF_WEO_GGXCNL_NGDP,IMF_WEO_GGXONLB,IMF_WEO_GGXONLB_NGDP,IMF_WEO_GGXWDG,IMF_WEO_GGXWDG_NGDP,IMF_WEO_GGXWDN,IMF_WEO_GGXWDN_NGDP,IMF_WEO_GGX_NGDP,IMF_WEO_LE,IMF_WEO_LP,IMF_WEO_LUR,IMF_WEO_NGAP_NPGDP,IMF_WEO_NGDP,IMF_WEO_NGDPD,IMF_WEO_NGDPDPC,IMF_WEO_NGDPPC,IMF_WEO_NGDPRPC,IMF_WEO_NGDPRPPPPC,IMF_WEO_NGDP_D,IMF_WEO_NGDP_FY,IMF_WEO_NGDP_R,IMF_WEO_NGDP_RPCH,IMF_WEO_NGSD_NGDP,IMF_WEO_NID_NGDP,IMF_WEO_PCPI,IMF_WEO_PCPIE,IMF_WEO_PCPIEPCH,IMF_WEO_PCPIPCH,IMF_WEO_PPPEX,IMF_WEO_PPPGDP,IMF_WEO_PPPPC,IMF_WEO_PPPSH,IMF_WEO_TMG_RPCH,IMF_WEO_TM_RPCH,IMF_WEO_TXG_RPCH,IMF_WEO_TX_RPCH,g_growth,g_growth_next,target
AUT,1980,-3.865,-4.776,,,-1.502,,,,,,,,,,,,3.235,7.54,1.6,0.785,75.98,80.923,10731.96,10076.42,23511.45,31396.31,42.858,75.98,177.286,2.314,25.919,33.133,53.215,54.518,6.661,6.325,0.897,84.66,11227.43,0.631,7.115,6.17,5.24,5.227,-4.776,-4.338,0
AUT,1981,-3.042,-4.338,,,-0.696,,,,,,,,,,,,3.247,7.556,2.2,-1.579,80.885,70.121,9280.73,10705.33,23440.87,31302.06,45.67,80.885,177.11,-0.099,24.598,28.87,56.837,58.011,6.407,6.807,0.874,92.577,12252.79,0.618,-1.618,-0.771,7.714,5.063,-4.338,1.003,0
AUT,1982,0.703,1.003,,,-2.112,,,,,,,,,,,,3.209,7.565,3.1,-1.475,86.824,70.111,9267.66,11476.97,23858.11,31859.24,48.105,86.824,180.489,1.908,23.647,25.998,59.929,60.752,4.726,5.44,0.867,100.173,13241.5,0.627,-3.463,-4.667,4.078,1.591,1.003,0.389,0
AUT,1983,0.276,0.389,,,3.416,,,,,,,,,,,,3.173,7.543,3.7,-0.502,92.523,71.032,9417.24,12266.4,24599.63,32849.42,49.864,92.523,185.55,2.804,21.978,25.353,61.928,63.052,3.785,3.335,0.865,107.015,14187.69,0.629,6.575,5.691,5.682,3.638,0.389,-0.266,0
AUT,1984,-0.178,-0.266,,,-1.221,,,,,,,,,,,,3.184,7.544,3.8,-2.322,97.131,67.007,8882.63,12875.97,24678.58,32954.86,52.175,97.131,186.166,0.332,23.015,27.248,65.436,66.235,5.049,5.665,0.873,111.245,14746.94,0.605,10.972,10.05,7.754,6.334,-0.266,-0.23,0
AUT,1985,-0.158,-0.23,,,-1.295,,,,,,,,,,,,3.201,7.549,3.6,-2.088,102.372,68.624,9090.8,13561.52,25215.19,33671.42,53.783,102.372,190.342,2.243,22.998,26.883,67.523,68.092,2.804,3.19,0.872,117.338,15544.06,0.597,6.555,6.156,9.61,7.1,-0.23,0.21,0
AUT,1986,0.204,0.21,,,-2.915,,,,,,,,,,,,3.225,7.557,3.1,-1.456,107.602,97.375,12886.1,14239.51,25778.41,34423.53,55.238,107.602,194.797,2.341,23.096,26.773,68.696,68.844,1.104,1.737,0.878,122.502,16211.2,0.59,-3.581,-2.911,-2.729,-2.348,0.21,-0.216,0
AUT,1987,-0.263,-0.216,,,-4.467,,,,,,,,,,,,3.231,7.567,3.8,0.202,111.721,121.771,16093.01,14764.84,26176.68,34955.36,56.405,111.721,198.071,1.681,23.305,26.917,69.663,69.974,1.642,1.408,0.875,127.647,16869.6,0.578,3.51,5.447,2.119,3.101,-0.216,-0.181,0
AUT,1988,-0.242,-0.181,52.892,44.215,-3.004,,56.905,-4.013,-3.355,-1.815,-1.517,68.623,57.365,,,47.57,3.26,7.576,2.676,-1.364,119.625,133.591,17632.82,15789.32,26394.65,35246.43,59.82,119.625,199.974,0.961,23.834,25.657,70.964,71.28,1.866,1.868,0.897,133.418,17609.94,0.559,10.4,10.4,9.6,10.2,-0.181,0.186,0
AUT,1989,0.248,0.186,55.351,43.257,-3.985,,59.225,-3.874,-3.028,-1.62,-1.266,72.082,56.332,,,46.284,3.32,7.594,2.348,-0.22,127.959,133.263,17547.81,16849.34,27355.64,36529.7,61.594,127.959,207.747,3.887,25.014,26.486,72.561,73.047,2.479,2.249,0.888,144.039,18966.79,0.56,10.262,10.158,10.265,10.544,0.186,0.699,0
